@relation QSAR-Dataset-from-ChEMBL17-for-Drug-Target-with-ChEMBL_ID:CHEMBL240-weka.filters.unsupervised.attribute.Remove-R1

@attribute AMW numeric
@attribute C. numeric
@attribute H. numeric
@attribute Me numeric
@attribute Mi numeric
@attribute Mp numeric
@attribute Mv numeric
@attribute MW numeric
@attribute N. numeric
@attribute nAB numeric
@attribute nAT numeric
@attribute nB numeric
@attribute nBM numeric
@attribute nBO numeric
@attribute nBR numeric
@attribute nBT numeric
@attribute nC numeric
@attribute nCL numeric
@attribute nCsp numeric
@attribute nCsp2 numeric
@attribute nCsp3 numeric
@attribute nDB numeric
@attribute nF numeric
@attribute nH numeric
@attribute nHet numeric
@attribute nHM numeric
@attribute nI numeric
@attribute nN numeric
@attribute nO numeric
@attribute nP numeric
@attribute nS numeric
@attribute nSK numeric
@attribute nTB numeric
@attribute nX numeric
@attribute O. numeric
@attribute RBF numeric
@attribute RBN numeric
@attribute SCBO numeric
@attribute Se numeric
@attribute Si numeric
@attribute Sp numeric
@attribute Sv numeric
@attribute X. numeric
@attribute pXC50 numeric

@data
7.479, 40.4, 48.1, 1.002, 1.126, 0.661, 0.622, 388.93, 3.8, 12, 52, 0.0, 13, 29, 0.0, 54, 21, 1, 0.0, 13, 8, 1, 0.0, 25, 6, 1, 0.0, 2, 3, 0.0, 0.0, 27, 0.0, 1, 5.8, 0.148, 8, 36, 52.112, 58.551, 34.37, 32.336, 1.9, 4.52
6.9, 42.2, 48.4, 0.989, 1.127, 0.662, 0.62, 441.63, 7.8, 17, 64, 0.0, 19, 36, 0.0, 67, 27, 0.0, 1, 16, 10, 1, 0.0, 31, 6, 0.0, 0.0, 5, 1, 0.0, 0.0, 33, 1, 0.0, 1.6, 0.149, 10, 47.5, 63.323, 72.099, 42.381, 39.67, 0.0, 6.721
7.639, 39.5, 46.5, 0.997, 1.127, 0.679, 0.633, 328.48, 9.3, 11, 43, 0.0, 12, 26, 0.0, 46, 17, 0.0, 0.0, 11, 6, 1, 0.0, 20, 6, 1, 0.0, 4, 1, 0.0, 1, 23, 0.0, 0.0, 2.3, 0.043, 2, 32.5, 42.88, 48.444, 29.216, 27.202, 0.0, 4.94
7.825, 46.3, 40.7, 1, 1.121, 0.696, 0.668, 422.53, 11.1, 22, 54, 0.0, 24, 36, 0.0, 58, 25, 0.0, 1, 19, 5, 1, 0.0, 22, 7, 0.0, 0.0, 6, 1, 0.0, 0.0, 32, 1, 0.0, 1.9, 0.103, 6, 50, 54.007, 60.521, 37.58, 36.058, 0.0, 5.086
6.01, 39.3, 55.7, 0.978, 1.129, 0.634, 0.577, 366.6, 3.3, 12, 61, 0.0, 12, 29, 0.0, 63, 24, 0.0, 0.0, 12, 12, 0.0, 0.0, 34, 3, 0.0, 0.0, 2, 1, 0.0, 0.0, 27, 0.0, 0.0, 1.6, 0.159, 10, 35, 59.669, 68.849, 38.648, 35.186, 0.0, 6.36
6.653, 45.2, 50, 0.983, 1.116, 0.668, 0.619, 279.41, 2.4, 12, 42, 0.0, 13, 23, 0.0, 44, 19, 0.0, 0.0, 14, 5, 1, 0.0, 21, 2, 0.0, 0.0, 1, 1, 0.0, 0.0, 21, 0.0, 0.0, 2.4, 0.068, 3, 30, 41.265, 46.86, 28.074, 26.004, 0.0, 5.19
8.211, 52.4, 40.5, 0.99, 1.101, 0.737, 0.692, 344.86, 4.8, 23, 42, 0.0, 23, 28, 0.0, 45, 22, 1, 0.0, 21, 1, 0.0, 0.0, 17, 3, 1, 0.0, 2, 0.0, 0.0, 0.0, 25, 0.0, 1, 0.0, 0.089, 4, 39.5, 41.596, 46.262, 30.961, 29.085, 2.4, 5.52
8.112, 37.2, 46.5, 1.026, 1.157, 0.64, 0.617, 348.83, 4.7, 6, 43, 0.0, 7, 24, 0.0, 44, 16, 1, 0.0, 7, 9, 1, 3, 20, 7, 1, 0.0, 2, 1, 0.0, 0.0, 23, 0.0, 4, 2.3, 0.091, 4, 28, 44.112, 49.736, 27.512, 26.53, 9.3, 5.385
7.882, 37.5, 50, 1, 1.131, 0.67, 0.617, 315.27, 5, 6, 40, 0.0, 7, 21, 0.0, 41, 15, 2, 0.0, 7, 8, 1, 0.0, 20, 5, 2, 0.0, 2, 1, 0.0, 0.0, 20, 0.0, 2, 2.5, 0.098, 4, 25, 40.014, 45.246, 26.796, 24.681, 5, 4.703
7.47, 37.5, 50, 1.005, 1.141, 0.647, 0.606, 298.82, 5, 6, 40, 0.0, 7, 21, 0.0, 41, 15, 1, 0.0, 7, 8, 1, 1, 20, 5, 1, 0.0, 2, 1, 0.0, 0.0, 20, 0.0, 2, 2.5, 0.098, 4, 25, 40.203, 45.642, 25.875, 24.236, 5, 5
