@relation QSAR-Dataset-from-ChEMBL17-for-Drug-Target-with-ChEMBL_ID:CHEMBL253-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1

@attribute SpDiam_EA.ed. numeric
@attribute CATS2D_07_DL numeric
@attribute GATS5m numeric
@attribute SpDiam_EA.bo. numeric
@attribute Eig01_EA.bo. numeric
@attribute SM11_AEA.ri. numeric
@attribute SpMax_EA.bo. numeric
@attribute SsCH3 numeric
@attribute SM13_EA.ed. numeric
@attribute Eig01_AEA.ed. numeric
@attribute SpMax_AEA.ed. numeric
@attribute P_VSA_MR_7 numeric
@attribute nPyrazoles numeric
@attribute CATS2D_01_AA numeric
@attribute SpMin2_Bh.v. numeric
@attribute SM15_EA.ed. numeric
@attribute SM03_EA.ed. numeric
@attribute C.026 numeric
@attribute MATS8p numeric
@attribute SsssCH numeric
@attribute nArX numeric
@attribute Eig01_EA numeric
@attribute SM09_AEA.bo. numeric
@attribute SpDiam_EA numeric
@attribute SpMax_EA numeric
@attribute MATS7m numeric
@attribute Eig01_AEA.ri. numeric
@attribute SpMax_AEA.ri. numeric
@attribute SM15_EA.bo. numeric
@attribute SpDiam_AEA.bo. numeric
@attribute P_VSA_m_2 numeric
@attribute SM10_EA.ed. numeric
@attribute Eig01_AEA.bo. numeric
@attribute SpMax_AEA.bo. numeric
@attribute Eta_FL_A numeric
@attribute DLS_04 numeric
@attribute Eig01_EA.ed. numeric
@attribute SM10_AEA.dm. numeric
@attribute SpMax_EA.ed. numeric
@attribute SM11_EA.ed. numeric
@attribute SM12_EA.ed. numeric
@attribute SM14_EA.ed. numeric
@attribute Eig02_AEA.ed. numeric
@attribute Eig03_EA.bo. numeric
@attribute SM13_AEA.ri. numeric
@attribute SM13_EA.bo. numeric
@attribute SpMax2_Bh.s. numeric
@attribute DLS_02 numeric
@attribute P_VSA_s_1 numeric
@attribute SpMax1_Bh.m. numeric
@attribute SM14_EA.bo. numeric
@attribute NNRS numeric
@attribute NssssC numeric
@attribute SpDiam_AEA.dm. numeric
@attribute Eig02_EA numeric
@attribute SM10_AEA.bo. numeric
@attribute NRS numeric
@attribute H.046 numeric
@attribute SM14_EA numeric
@attribute SpMax2_Bh.m. numeric
@attribute Eig03_AEA.ed. numeric
@attribute C.004 numeric
@attribute nCq numeric
@attribute SM09_EA.ed. numeric
@attribute Eig02_EA.ed. numeric
@attribute SM11_AEA.dm. numeric
@attribute cRo5 numeric
@attribute Eig02_AEA.bo. numeric
@attribute SM07_EA.ed. numeric
@attribute SM13_EA numeric
@attribute pXC50 numeric

@data
19.97, 4, 0.868, 7.569, 4.569, 4.569, 4.569, 1.465, 33.184, 7.314, 7.314, 44.718, 0.0, 1, 2.029, 38.176, 8.302, 2, -0.093, -0.183, 1, 3.418, 3.418, 5.418, 3.418, -0.076, 4.394, 4.394, 22.887, 5.812, 176.223, 25.742, 4.812, 4.812, 0.235, 0.8, 12.54, 12.54, 12.54, 28.208, 30.699, 35.68, 6.746, 3.545, 3.545, 19.898, 7.999, 0.83, 5.569, 4.724, 21.401, 1, 1, 5.992, 3.199, 3.199, 4, 0.0, 17.777, 4.025, 6.702, 0.0, 0.0, 23.249, 11.071, 11.071, 1, 4.402, 18.307, 16.582, 6
19.952, 4, 0.939, 7.567, 4.567, 4.567, 4.567, 1.513, 33.056, 7.312, 7.312, 44.718, 0.0, 1, 2.034, 38.071, 8.05, 1, -0.09, -1.043, 1, 3.402, 3.402, 5.402, 3.402, -0.068, 4.382, 4.382, 22.9, 5.809, 176.15, 25.573, 4.809, 4.809, 0.234, 0.8, 12.531, 12.531, 12.531, 28.052, 30.558, 35.564, 6.745, 3.525, 3.525, 19.908, 7.717, 0.67, 5.569, 4.723, 21.413, 1, 0.0, 5.62, 3.188, 3.188, 4, 0.0, 17.523, 4.031, 6.057, 0.0, 0.0, 23.062, 11.07, 11.07, 1, 4.445, 18.089, 16.324, 6
18.671, 0.0, 0.776, 6.983, 3.983, 3.983, 3.983, 0.0, 31.851, 6.879, 6.879, 78.297, 0.0, 0.0, 2.05, 36.704, 7.591, 2, 0.15, 0.337, 2, 3.204, 3.204, 5.204, 3.204, 0.087, 4.165, 4.165, 20.894, 5.426, 116.162, 24.628, 4.426, 4.426, 0.211, 1, 11.494, 11.494, 11.494, 27.009, 29.441, 34.281, 6.397, 3.283, 3.283, 18.175, 5.019, 1, 0.0, 4.113, 19.595, 1, 0.0, 5.825, 2.978, 2.978, 4, 6, 16.671, 3.866, 5.829, 0.0, 0.0, 22.182, 9.684, 9.684, 1, 4.125, 17.366, 15.526, 5.674
19.862, 5, 0.843, 7.489, 4.489, 4.489, 4.489, 1.606, 32.63, 7.08, 7.08, 16.663, 1, 1, 2.025, 37.626, 7.769, 3, -0.12, 0.0, 1, 3.356, 3.356, 5.356, 3.356, -0.03, 4.323, 4.323, 22.63, 5.725, 211.748, 25.189, 4.725, 4.725, 0.245, 0.7, 12.264, 12.264, 12.264, 27.646, 30.147, 35.13, 6.351, 3.609, 3.609, 19.67, 6.82, 0.83, 0.0, 10.695, 21.164, 1, 0.0, 6.098, 2.824, 2.824, 4, 2, 17.098, 4.058, 6.036, 0.0, 0.0, 22.679, 9.528, 9.528, 1, 4.186, 17.734, 15.91, 6.261
19.952, 4, 0.894, 7.706, 4.706, 4.706, 4.706, 1.494, 33.056, 7.312, 7.312, 44.956, 0.0, 1, 2.029, 38.071, 8.05, 4, -0.105, -0.153, 2, 3.402, 3.402, 5.402, 3.402, -0.038, 4.323, 4.323, 23.302, 5.814, 212.177, 25.573, 4.86, 4.86, 0.28, 0.6, 12.531, 12.531, 12.531, 28.052, 30.558, 35.564, 6.745, 3.548, 3.548, 20.244, 7.717, 0.83, 5.807, 4.736, 21.782, 1, 0.0, 6.687, 3.188, 3.188, 4, 0.0, 17.523, 4.025, 6.057, 0.0, 0.0, 23.062, 11.07, 11.07, 1, 4.404, 18.089, 16.324, 6
19.983, 4, 1.041, 7.569, 4.569, 4.569, 4.569, 1.443, 33.336, 7.313, 7.313, 44.718, 0.0, 1, 2.029, 38.328, 8.359, 2, -0.079, -1.705, 1, 3.414, 3.414, 5.414, 3.414, 0.008, 4.389, 4.389, 22.89, 5.811, 182.159, 25.884, 4.811, 4.811, 0.228, 0.7, 12.534, 12.534, 12.534, 28.354, 30.849, 35.833, 7.108, 3.545, 3.545, 19.902, 7.999, 0.67, 5.569, 4.723, 21.404, 1, 1, 6.326, 3.295, 3.295, 4, 0.0, 17.903, 4.025, 6.745, 0.0, 0.0, 23.384, 11.65, 11.65, 0.0, 4.402, 18.421, 16.703, 6.234
19.983, 4, 1.041, 7.569, 4.569, 4.569, 4.569, 1.443, 33.336, 7.313, 7.313, 44.718, 0.0, 1, 2.029, 38.328, 8.359, 2, -0.079, -1.705, 1, 3.414, 3.414, 5.414, 3.414, 0.008, 4.389, 4.389, 22.89, 5.811, 182.159, 25.884, 4.811, 4.811, 0.228, 0.7, 12.534, 12.534, 12.534, 28.354, 30.849, 35.833, 7.108, 3.545, 3.545, 19.902, 7.999, 0.67, 5.569, 4.723, 21.404, 1, 1, 6.326, 3.295, 3.295, 4, 0.0, 17.903, 4.025, 6.745, 0.0, 0.0, 23.384, 11.65, 11.65, 0.0, 4.402, 18.421, 16.703, 6
19.983, 4, 1.053, 7.567, 4.567, 4.567, 4.567, 1.432, 33.336, 7.313, 7.313, 44.718, 0.0, 1, 2.034, 38.328, 8.359, 1, -0.091, -1.661, 1, 3.414, 3.414, 5.414, 3.414, 0.005, 4.388, 4.388, 22.907, 5.809, 181.73, 25.884, 4.809, 4.809, 0.227, 0.6, 12.534, 12.534, 12.534, 28.354, 30.849, 35.833, 7.108, 3.525, 3.525, 19.921, 7.999, 0.67, 5.569, 4.723, 21.422, 1, 1, 6.326, 3.295, 3.295, 4, 0.0, 17.903, 4.032, 6.745, 0.0, 0.0, 23.384, 11.65, 11.65, 0.0, 4.445, 18.421, 16.703, 6.516
22.225, 1, 1.003, 7.218, 4.218, 4.218, 4.218, 8.757, 34.746, 7.648, 7.648, 9.476, 0.0, 0.0, 1.981, 39.986, 8.477, 2, 0.141, 0.663, 0.0, 3.561, 3.561, 5.561, 3.561, -0.333, 4.538, 4.538, 21.716, 5.659, 105.456, 26.908, 4.696, 4.696, 0.135, 1, 14.018, 14.018, 14.018, 29.512, 32.131, 37.366, 7.474, 3.298, 3.298, 18.883, 4.902, 1, 0.0, 4.03, 20.314, 0.5, 2, 6.079, 3.471, 3.471, 2, 19, 18.348, 3.771, 6.659, 0.0, 0.0, 24.285, 13.292, 13.292, 1, 4.513, 19.064, 17.095, 9.66
19.983, 4, 1.053, 7.567, 4.567, 4.567, 4.567, 1.432, 33.336, 7.313, 7.313, 44.718, 0.0, 1, 2.034, 38.328, 8.359, 1, -0.091, -1.661, 1, 3.414, 3.414, 5.414, 3.414, 0.005, 4.388, 4.388, 22.907, 5.809, 181.73, 25.884, 4.809, 4.809, 0.227, 0.6, 12.534, 12.534, 12.534, 28.354, 30.849, 35.833, 7.108, 3.525, 3.525, 19.921, 7.999, 0.67, 5.569, 4.723, 21.422, 1, 1, 6.326, 3.295, 3.295, 4, 0.0, 17.903, 4.032, 6.745, 0.0, 0.0, 23.384, 11.65, 11.65, 0.0, 4.445, 18.421, 16.703, 6
